title,author,genre,isbn,total_copies
To Kill a Mockingbird,Harper Lee,Fiction,9780061120084,3
1984,George Orwell,Dystopian,9780451524935,4
Pride and Prejudice,Jane Austen,Romance,9780141439518,2
The Great Gatsby,F. Scott Fitzgerald,Fiction,9780743273565,3
Moby Dick,Herman Melville,Adventure,9781503280786,2
War and Peace,Leo Tolstoy,Historical Fiction,9781400079988,1
The Catcher in the Rye,J.D. Salinger,Fiction,9780316769488,3
The Hobbit,J.R.R. Tolkien,Fantasy,9780547928227,5
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,9780590353427,6
The Lord of the Rings,J.R.R. Tolkien,Fantasy,9780618640157,4
Brave New World,Aldous Huxley,Dystopian,9780060850524,3
Fahrenheit 451,Ray Bradbury,Dystopian,9781451673319,3
Animal Farm,George Orwell,Political Satire,9780451526342,4
The Da Vinci Code,Dan Brown,Thriller,9780307474278,3
Angels and Demons,Dan Brown,Thriller,9781416524793,2
The Alchemist,Paulo Coelho,Fiction,9780061122415,4
Crime and Punishment,Fyodor Dostoevsky,Fiction,9780486415871,2
The Kite Runner,Khaled Hosseini,Fiction,9781594631931,3
Life of Pi,Yann Martel,Adventure,9780156027328,2
The Book Thief,Markus Zusak,Historical Fiction,9780375842207,3
Gone Girl,Gillian Flynn,Thriller,9780307588371,3
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,9780307949486,2
A Game of Thrones,George R.R. Martin,Fantasy,9780553593716,4
The Chronicles of Narnia,C.S. Lewis,Fantasy,9780066238500,3
Dune,Frank Herbert,Science Fiction,9780441172719,3
Ender's Game,Orson Scott Card,Science Fiction,9780812550702,3
The Martian,Andy Weir,Science Fiction,9780553418026,2
Ready Player One,Ernest Cline,Science Fiction,9780307887436,2
The Hunger Games,Suzanne Collins,Dystopian,9780439023528,5
Divergent,Veronica Roth,Dystopian,9780062024039,3
The Fault in Our Stars,John Green,Young Adult,9780525478812,3
Twilight,Stephenie Meyer,Fantasy Romance,9780316015844,4
The Shining,Stephen King,Horror,9780307743657,2
It,Stephen King,Horror,9781501142970,2
Dracula,Bram Stoker,Horror,9780486411095,2
Frankenstein,Mary Shelley,Horror,9780486282114,3
Sapiens,Yuval Noah Harari,Non-Fiction,9780062316097,3
Educated,Tara Westover,Memoir,9780399590504,2
Atomic Habits,James Clear,Self-Help,9780735211292,5
The Subtle Art of Not Giving a F*ck,Mark Manson,Self-Help,9780062457714,3
Rich Dad Poor Dad,Robert Kiyosaki,Finance,9781612680194,4
Think and Grow Rich,Napoleon Hill,Finance,9781585424337,3
The Power of Habit,Charles Duhigg,Self-Help,9780812981605,2
Zero to One,Peter Thiel,Business,9780804139298,2
The Lean Startup,Eric Ries,Business,9780307887894,2
Steve Jobs,Walter Isaacson,Biography,9781451648539,2
Becoming,Michelle Obama,Biography,9781524763138,3
A Brief History of Time,Stephen Hawking,Science,9780553380163,2
Cosmos,Carl Sagan,Science,9780345539434,2
The Selfish Gene,Richard Dawkins,Science,9780198788607,1
Introduction to Algorithms,Thomas H. Cormen,Textbook,9780262033848,3
